SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,cld_distance
SND2018101809322836,55.320557,34.054356,403.63486,93.832695,0.07299532301061717,0.045972551046501914,0.08574829199417708,-0.011444565496180706,0.0810433624892442,-0.014909330206777288,1.9472081850028546
SND2018101809322837,55.326767,34.046036,402.87665,93.796036,0.022812343555804207,0.05639633062766092,0.013208870386568301,0.022958923852105295,0.011547806937200584,0.023669603014932504,1.9334410248213938
SND2018101809322838,55.33289,34.037666,403.48004,93.89831,0.004169114960774779,0.020023859858112412,0.0016059912200427269,0.017962040938486853,0.0008318399944443023,0.017293573931150778,2.2927914362384874
SND2018101809322874,55.30233,34.090813,402.73276,93.24329,0.010377954511889262,0.04013160743859787,0.01627411592035594,0.017392482371852366,0.009229995823804758,0.027292138387741426,0.9869442958322818
SND2018101809322875,55.308712,34.082603,405.8798,93.53282,0.008503638880679109,0.03012265833235337,0.010585363961577268,0.017789013309393604,0.005420123311307962,0.028593722653500086,2.0363412811667807
SND2018101809322876,55.315018,34.074326,406.07202,93.60208,0.056042043488787496,0.01544916184800123,0.044603891117021476,0.01695915693711196,0.039454953530597664,0.019465478022791423,2.564483570012398
SND2018101809322877,55.32123,34.066006,405.38977,93.7542,0.08561760609138924,-0.005522151022931897,0.10059593057173107,-0.02068938629964552,0.12123002611981137,-0.13314829957153135,1.8164711560895064
SND2018101809322878,55.32736,34.05764,403.4013,93.77607,0.10043192203354863,-0.031572277790428024,0.1540808879186194,-0.06714386103995373,0.18276862275955957,-0.23974802508537083,1.2658445884164324
SND2018101809322901,55.27698,34.13536,403.23273,93.19076,0.03765339875313646,-0.24680253070871,-0.1324051428790743,-0.06823206240854533,-0.1702942835018771,-0.2219075291138978,0.04935403650518747
SND2018101809322905,55.30315,34.10262,402.8401,93.235085,0.024051935934463833,0.03561084531066518,0.025231681121310114,0.021062693437049872,0.01796816873250918,0.03314396415321831,0.5756291530742469
SND2018101809322906,55.30946,34.09435,406.54413,93.472206,0.007575420222103201,0.03289100162907225,0.011743333612751096,0.0163254874601857,0.0029139650918037093,0.039892250269540706,1.510195184804358
SND2018101809322907,55.315678,34.08604,405.4456,93.66027,0.011008695198782158,0.027242815447785493,0.013223122409322944,0.014692842436593348,0.008047142307114246,0.028342456171622947,2.3082187858398755
SND2018101809322908,55.321804,34.07768,406.18387,93.60776,0.017535162868248706,0.03568976283634511,0.010704367703384031,0.01540838548319415,0.004529526771553765,0.02612965920587656,2.171878116508694
SND2018101809322931,55.27139,34.155403,404.30594,92.19088,0.06536642526000054,0.1249162104089875,0.07023530229260742,0.03511768821484756,0.045898700764810195,0.07477315611721036,0.21954310683121708
SND2018101809322932,55.27805,34.147297,408.94864,92.55183,0.07504520251349013,0.1150674534332242,0.049037866997185806,0.056071628193608954,0.01797022848312729,0.08933419998461424,0.09041969894217225
SND2018101809322933,55.284657,34.139107,405.4639,92.87479,0.17781772902885135,-0.4390029714309196,-0.06814166128681715,-0.07187699294142265,-0.09084982770692059,-0.4016385818145364,0.5348590825672325
SND2018101809322936,55.303886,34.114403,401.5669,92.37183,0.07650243111549236,0.04473124840244789,0.06530478616619804,0.031364482585881835,0.05479301463929864,0.041333240867322214,0.0
SND2018101809322937,55.31011,34.106094,405.61752,93.4519,0.015192824565624308,0.030767263767377557,0.01592429534415179,0.023360782656460324,0.011269780345613458,0.027162178483030378,0.6502287947155918
SND2018101809322938,55.316242,34.097736,405.08392,93.60471,0.008621504646116721,0.021085058496417754,0.009135339411283602,0.01823963884918883,0.005093575669141717,0.02430671766025795,1.6664448576162951
SND2018101809322971,55.265793,34.17545,404.1837,91.90435,0.03639519699764783,0.03628367274483438,0.036269314744435184,0.024005225922771396,0.02405773412222695,0.05010568158166919,1.3629542551302538
SND2018101809322972,55.27246,34.167343,403.3486,91.95621,0.03829052169692441,0.09287508564418362,0.04417211014193461,0.037325197095248897,0.03142326213514521,0.05684355518376603,0.724880748526836
SND2018101809322973,55.27907,34.159157,405.25607,92.50623,0.05518112098508783,0.09458539039286948,0.0629732936573689,0.022355405835144247,0.043325956980751444,0.06114876822717013,0.5009325946250369
SND2018101809322974,55.285603,34.15092,409.03848,92.75436,-0.21060507735384112,0.02044140336018861,-0.26836875686125605,0.044206108511618464,-0.3005161158847557,0.08528855749722576,0.6924897033215826
SND2018101809322975,55.291996,34.14272,400.83704,92.6532,-0.38317215931437587,-0.4238069525370482,-0.5601541498338143,-0.02800501585523574,-0.587848843999157,-0.21259320368008397,0.6696548030205159
SND2018101809322978,55.310677,34.11779,395.00012,92.86072,0.03494850075810482,0.0350040593597388,0.036204557972051604,0.017240123428459563,0.026447118591464067,0.038964459517414465,0.0
SND2018101809323001,55.260185,34.195477,405.88742,93.25822,0.010036331026555226,0.028334940862706503,0.012065711866133151,0.015149140804285385,0.00906617228344181,0.01100630863100702,2.1875339112994796
SND2018101809323002,55.26685,34.187366,406.2182,92.72484,0.011640159538107254,0.03579544523562644,0.01263060019098065,0.021048934322169446,0.009099676756089163,0.024017706119799875,2.6861266483835924
SND2018101809323003,55.27346,34.179176,404.2944,92.70688,0.018232116117593764,0.04094792980749651,0.02003104095959435,0.02248918826658451,0.013522605392793693,0.035936706331763234,1.8904373493942406
SND2018101809323004,55.279995,34.170937,405.8255,92.250435,0.022993629770523636,0.0655105152240698,0.026491068552702484,0.028351804041490052,0.01730710215951691,0.043703638515187354,1.5226577875775438
SND2018101809323005,55.286385,34.16273,409.79953,92.22136,0.029389920527919132,0.0809292429637833,0.03772296470505603,0.025510297127131435,0.026696375623275644,0.04414073087580574,1.26436670102694
SND2018101809323006,55.292706,34.154465,412.03653,91.99434,-0.2688785197517526,-0.028932724509341645,-0.3304907421634523,0.04445554289677092,-0.3522211856388629,0.06427246313370373,1.47174176498437
SND2018101809323007,55.29893,34.146152,405.59274,92.436424,-0.5370950930312913,-0.2356403057535038,-0.667588573984971,0.023420376911869045,-0.6980411211546361,0.042971375281502994,0.5633066125241522
SND2018101809323008,55.30507,34.13779,392.92538,92.169525,-0.02461625514659252,0.0687130374243261,-0.06246294737928785,0.03552992676449766,-0.0828526534592228,0.0571043386613918,0.0
SND2018101809323031,55.25453,34.215458,406.9754,93.500145,0.004337904276839313,0.03673352383028196,0.004556815274639888,0.020091047130203616,-0.0002475752684115102,0.029677883002840726,1.3100348929320034
SND2018101809323032,55.261204,34.207348,405.6274,93.493416,0.008046549860083418,0.0184571038114865,0.0030462596027255717,0.022679175455733395,0.003275287395073805,0.016579940108867833,1.7985620100687152
SND2018101809323033,55.26782,34.199158,405.3628,93.55031,0.007429996307787586,0.027697230984039586,0.006787500317204614,0.018456982223114544,0.005358179037542113,0.01522001068966919,2.59415722653078
SND2018101809323034,55.274357,34.19092,402.47586,93.19753,0.010146251847345482,0.025720236887230984,0.008734698317228019,0.020996107885021056,0.003984461898776382,0.03482463792426628,3.163793730237132
SND2018101809323035,55.280754,34.18272,403.67938,92.95025,0.009604514572732356,0.03392621786457375,0.009015618074679014,0.02818437148997034,0.005851312794921514,0.030827118888112622,2.5370564674262392
SND2018101809323036,55.287075,34.17445,407.61325,92.21651,0.012279986879010411,0.05189579354006363,0.012444940136843684,0.030522582247982433,0.006256138262201492,0.044801485114133455,2.17366538014691
SND2018101809323037,55.29331,34.16614,408.90698,92.15839,0.02467087619910791,0.04238330103364158,0.021791954357759644,0.03867019601189431,0.016933930400198093,0.042192371867409824,1.9921625391924191
SND2018101809323038,55.299446,34.15778,409.64627,92.31685,0.019422971487106703,0.043477700957993644,0.009993265491731304,0.03815622257060376,0.002569475860046981,0.04462227648846787,1.6575987535642738
SND2018101809323071,55.24888,34.23544,402.88428,93.62439,0.0037195386297290437,0.023944334401807762,0.0051436142237441095,0.00849446887221452,-0.0016112667379345003,0.027916160588986508,2.8610626841852382
SND2018101809323072,55.255554,34.22733,404.26947,93.58967,-0.000700411430413673,0.03788411922980614,0.005737813680994378,0.0037455365429092174,0.0015227273254654887,0.014815353519797009,2.276414151244756
SND2018101809323073,55.262173,34.219143,405.12274,93.491104,0.0003603283899010678,0.035261111667384396,0.008158137409124838,-0.0011854600131487082,0.0009775753845205645,0.01925960824180215,2.124995150456009
SND2018101809323074,55.268715,34.210907,405.28528,93.62712,0.001973182237295554,0.03617923193792071,0.0045658109988514495,0.0158495015122327,0.005567269017450525,0.0035794010157461833,2.489744174599171
SND2018101809323075,55.275116,34.202705,404.5957,93.43362,0.0035648677108039723,0.03943703026101687,0.00586675327243696,0.01641977579751909,0.0014233901703006337,0.022856567491696855,3.1300696155378307
