SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3
SND2018101809322733,55.318245,34.01916,406.09805,93.47713,0.0031558317243007864,0.040071638165965144,0.002540542509442351,0.018542635167033465,0.002071246615278145,0.02139435021419538
SND2018101809322734,55.324738,34.01091,406.01822,93.514145,0.0028111707866656527,0.03751225836984762,0.002242434665746823,0.01733025556848078,0.001418709782688073,0.019675797726661587
SND2018101809322735,55.33109,34.002697,405.19012,93.61824,0.0024391661175387613,0.03459333725441889,0.0019239288201250932,0.015950043719703825,0.0008916456029373403,0.017754050570470022
SND2018101809322736,55.337368,33.994415,404.28464,93.65893,0.0020761713454370994,0.031554152545612585,0.0016168346105028166,0.014516002711836885,0.000526293635855761,0.015798996416302048
SND2018101809322737,55.34355,33.986095,403.9379,93.74209,0.001745251866757354,0.028577451647829717,0.001340556923365226,0.01311472555542046,0.0002981999102586074,0.013932600537568993
SND2018101809322738,55.349648,33.977722,403.89594,93.77567,0.001457652872348861,0.025786545103954225,0.0011037843031569984,0.01180415497124633,0.00016543561915810664,0.012229488838012129
SND2018101809322771,55.29934,34.05547,404.85214,93.683136,0.00446126269507985,0.048824418880558156,0.0036913395327107194,0.022702544790334494,0.006429062415749439,0.02748882484449578
SND2018101809322772,55.30597,34.047348,404.1034,93.5214,0.003939618303258428,0.04547970833503936,0.0032277581155811357,0.021110557059840492,0.0042800727212166925,0.025122024842950723
SND2018101809322773,55.312546,34.03915,405.06995,93.51467,0.004067104861406854,0.046313865424480516,0.003340628793809859,0.02150733161992818,0.0047501358187880165,0.02570805301105447
SND2018101809322774,55.319042,34.0309,403.88168,93.62132,0.003921928075485761,0.045363049541277234,0.0032121186556443677,0.021055081364529656,0.004217509582972552,0.02504029623770296
SND2018101809322775,55.325397,34.022686,402.99496,93.969894,0.003570210952668861,0.042994683738391506,0.002902366819605791,0.01992960196048332,0.003101289301714935,0.023393430749598782
SND2018101809322776,55.33168,34.01441,405.41537,93.57529,0.003122313883417493,0.039828196703662035,0.0025114337202290756,0.01842723314516079,0.002000133279697848,0.02122958299663783
SND2018101809322777,55.337868,34.00609,404.21948,93.6385,0.002661658364509862,0.03636033695984369,0.0021139955760525945,0.01678524316578364,0.00118640897015366,0.018912415335058542
SND2018101809322778,55.34397,33.99772,403.11148,93.721146,0.002235324126684365,0.03291264332487898,0.0017509945052380216,0.015156607356757874,0.0006701669973234989,0.016666913903346414
SND2018101809322801,55.29367,34.075447,404.63736,93.64079,0.006212311049832032,0.058979333537900594,0.005276841341549254,0.027551726311722778,0.018994899132805856,0.03493588401057432
SND2018101809322802,55.300316,34.067326,404.83475,93.58463,0.005091421700426198,0.05264826629539778,0.004257084570324308,0.0245258584007733,0.009905935594787273,0.030248461227217513
SND2018101809322803,55.306908,34.059128,404.2278,93.5974,0.004217443603790277,0.04728325408716595,0.003474091874596637,0.02196865025227481,0.005349147172717829,0.02639265642484646
SND2018101809322804,55.313423,34.050877,404.04776,93.720184,0.0045633707708195685,0.04945905494464592,0.0037826028144137304,0.023004921272521055,0.006923155683671108,0.027942942865063793
SND2018101809322805,55.319794,34.042664,403.91,93.69487,0.004720306207804916,0.050422698202990446,0.003923184937604231,0.023464236857107145,0.00773304556358007,0.0286354785873691
SND2018101809322806,55.326096,34.034386,404.20285,93.69104,0.004481326204181132,0.0489496086548909,0.0037092591707878968,0.022762184684697574,0.006524148906902949,0.027578280312342437
SND2018101809322807,55.332302,34.026066,405.1829,93.651634,0.003982720266628381,0.04576300794923749,0.0032658866707787845,0.021245291309355097,0.004435199888263515,0.025320732766588458
SND2018101809322808,55.338417,34.017693,403.06277,93.805,0.0034072622099811404,0.04186358250564828,0.002759664520583505,0.01939261839755021,0.0026617066471267335,0.02261539028785119
SND2018101809322832,55.29476,34.08729,404.04364,93.09827,0.00687804377757943,0.0625073542278911,0.005889646244463477,0.029241424949347734,0.026502997194613482,0.03760827426236289
SND2018101809322833,55.301357,34.079094,405.6062,93.63165,0.00594450069435024,0.05751459675632232,0.005031757538483848,0.02685092941622492,0.016444447931570308,0.033838798775267465
SND2018101809322834,55.307877,34.070847,405.2206,93.52422,0.004877584240665781,0.051374741242528915,0.004064446089035257,0.023918234631947588,0.008608456556003934,0.029323179768408068
SND2018101809322835,55.314255,34.062634,404.8244,93.85106,0.004690601176595603,0.05024136589916513,0.0038965464855492205,0.023377789189234572,0.007574954332265977,0.028504887694604027
SND2018101809322836,55.320557,34.054356,403.63486,93.832695,0.0052346087452268455,0.05348821938602318,0.0043864372235662375,0.024926814257480317,0.010846921188962185,0.030862039655702708
SND2018101809322837,55.326767,34.046036,402.87665,93.796036,0.0054418719341979395,0.0546867771621316,0.004574170564044192,0.02549921859890078,0.012316426297069484,0.031742061538995975
SND2018101809322838,55.33289,34.037666,403.48004,93.89831,0.005045017827754284,0.05237388595811987,0.0042152255548995226,0.024394915410355305,0.009613578812279013,0.03004859609971198
SND2018101809322874,55.30233,34.090813,402.73276,93.24329,0.005954166316796993,0.0575679477200811,0.005040587950874071,0.026876447341612132,0.01653209563442373,0.03387862807584403
SND2018101809322875,55.308712,34.082603,405.8798,93.53282,0.005383635795964291,0.05435202036405135,0.004521363662293692,0.025339315009034503,0.011890390458083343,0.031495744897184104
SND2018101809322876,55.315018,34.074326,406.07202,93.60208,0.004746374227482489,0.05058142541976715,0.0039465727917505165,0.02353991411820356,0.007873655364590773,0.028749893522490345
SND2018101809322877,55.32123,34.066006,405.38977,93.7542,0.005310700032138514,0.053930565462152885,0.004455291424171148,0.025138032599269687,0.011371388363934356,0.03118621460568139
SND2018101809322878,55.32736,34.05764,403.4013,93.77607,0.005922437218123249,0.05739267411873023,0.005011604840747675,0.02679261563321639,0.016245586479674393,0.033747814390618365
SND2018101809322901,55.27698,34.13536,403.23273,93.19076,0.007750140258198766,0.0669142158219218,0.006699495702332415,0.0313553059010906,0.03916763028487613,0.041003571826902285
SND2018101809322905,55.30315,34.10262,402.8401,93.235085,0.0065299464588562655,0.06068187549689951,0.005568606943817172,0.02836683569419986,0.02236121718025817,0.03622030889821384
SND2018101809322906,55.30946,34.09435,406.54413,93.472206,0.005372561062098063,0.054288184246182584,0.004511326509928013,0.025308825087480405,0.011810546254414673,0.03144881997766452
SND2018101809322907,55.315678,34.08604,405.4456,93.66027,0.004778185849434132,0.05077461907641127,0.003975127511408798,0.023632031989027504,0.008047639000334702,0.028889283033441543
SND2018101809322908,55.321804,34.07768,406.18387,93.60776,0.005164416717949751,0.05307771366264559,0.004322991464638372,0.024730837840057064,0.010378230046842166,0.030561842746473517
SND2018101809322931,55.27139,34.155403,404.30594,92.19088,0.007750140258198766,0.0669142158219218,0.006699495702332415,0.0313553059010906,0.03916763028487613,0.041003571826902285
SND2018101809322932,55.27805,34.147297,408.94864,92.55183,0.007750140258198766,0.0669142158219218,0.006699495702332415,0.0313553059010906,0.03916763028487613,0.041003571826902285
SND2018101809322933,55.284657,34.139107,405.4639,92.87479,0.006854161073865744,0.062383396096605884,0.005867578049084112,0.029182016421826076,0.026203077862812927,0.03751367648033414
SND2018101809322936,55.303886,34.114403,401.5669,92.37183,0.007468180658012686,0.06551387097014276,0.00643682918706805,0.03068320822588796,0.034694953711596636,0.03991795015146923
SND2018101809322937,55.31011,34.106094,405.61752,93.4519,0.006280096870543137,0.05934574885864598,0.00533900916535902,0.02772710325386412,0.019681496519388456,0.0352114824611255
SND2018101809322938,55.316242,34.097736,405.08392,93.60471,0.00519895649781546,0.05328001082039592,0.004354203088777843,0.024827410363351166,0.01060706518890274,0.03070970206251878
SND2018101809322971,55.265793,34.17545,404.1837,91.90435,0.0075429006512843415,0.06588714452259295,0.006506361146012836,0.030862327330746404,0.0358436943467715,0.0402067277636897
SND2018101809322972,55.27246,34.167343,403.3486,91.95621,0.007258285448085075,0.06445664000041051,0.006241804112552443,0.03017602142802857,0.03160510368414088,0.03910244288745263
SND2018101809322973,55.27907,34.159157,405.25607,92.50623,0.007215646531621842,0.0642402735877894,0.006202240144341464,0.03007224871074205,0.03100166445369268,0.038935986899103915
SND2018101809322974,55.285603,34.15092,409.03848,92.75436,0.006971590071786242,0.06299111697057372,0.005976143580257303,0.029473302036522764,0.02770072499025993,0.037977936153798256
SND2018101809322975,55.291996,34.14272,400.83704,92.6532,0.007095316853120174,0.06362669472725199,0.006090688384071708,0.02977801337600439,0.029341922745971753,0.03846476592695624
SND2018101809322978,55.310677,34.11779,395.00012,92.86072,0.007750140258198766,0.0669142158219218,0.006699495702332415,0.0313553059010906,0.03916763028487613,0.041003571826902285
